A,B,C,AVSC,cos-zenith
1232.92,0.141454,0.0567465,1.03349,-0.938995
1232.92,0.141454,0.0567465,1.03349,-0.938995
1232.92,0.141454,0.0567465,1.03349,-0.888401
1232.92,0.141454,0.0567465,1.03349,-0.795072
1232.92,0.141454,0.0567465,1.03349,-0.665369
1232.92,0.141454,0.0567465,1.03349,-0.50813
1232.92,0.141454,0.0567465,1.03349,-0.33407
1232.92,0.141454,0.0567465,1.03349,-0.155053
1232.92,0.141454,0.0567465,1.03349,0.0167229
1232.92,0.141454,0.0567465,1.03349,0.169551
1232.92,0.141454,0.0567465,1.03349,0.293016
1232.92,0.141454,0.0567465,1.03349,0.378704
1232.92,0.141454,0.0567465,1.03349,0.420777
1232.92,0.141454,0.0567465,1.03349,0.416365
1232.92,0.141454,0.0567465,1.03349,0.365771
1232.92,0.141454,0.0567465,1.03349,0.272442
1232.92,0.141454,0.0567465,1.03349,0.142739
1232.92,0.141454,0.0567465,1.03349,-0.0145005
1232.92,0.141454,0.0567465,1.03349,-0.18856
1232.92,0.141454,0.0567465,1.03349,-0.367577
1232.92,0.141454,0.0567465,1.03349,-0.539353
1232.92,0.141454,0.0567465,1.03349,-0.692181
1232.92,0.141454,0.0567465,1.03349,-0.815646
1232.92,0.141454,0.0567465,1.03349,-0.901335
1232.92,0.141454,0.0567465,1.03349,-0.943407
1232.83,0.141412,0.0567172,1.03348,-0.938743
1232.83,0.141412,0.0567172,1.03348,-0.888466
1232.83,0.141412,0.0567172,1.03348,-0.79539
1232.83,0.141412,0.0567172,1.03348,-0.665858
1232.83,0.141412,0.0567172,1.03348,-0.508697
1232.83,0.141412,0.0567172,1.03348,-0.334617
1232.83,0.141412,0.0567172,1.03348,-0.155481
1232.83,0.141412,0.0567172,1.03348,0.016502
1232.83,0.141412,0.0567172,1.03348,0.169612
1232.83,0.141412,0.0567172,1.03348,0.293416
1232.83,0.141412,0.0567172,1.03348,0.379476
1232.83,0.141412,0.0567172,1.03348,0.421926
1232.83,0.141412,0.0567172,1.03348,0.417875
1232.83,0.141412,0.0567172,1.03348,0.367599
1232.83,0.141412,0.0567172,1.03348,0.274523
1232.83,0.141412,0.0567172,1.03348,0.144991
1232.83,0.141412,0.0567172,1.03348,-0.0121708
1232.83,0.141412,0.0567172,1.03348,-0.186251
1232.83,0.141412,0.0567172,1.03348,-0.365386
1232.83,0.141412,0.0567172,1.03348,-0.53737
1232.83,0.141412,0.0567172,1.03348,-0.69048
1232.83,0.141412,0.0567172,1.03348,-0.814284
1232.83,0.141412,0.0567172,1.03348,-0.900343
1232.83,0.141412,0.0567172,1.03348,-0.942794
1232.72,0.141376,0.0566954,1.03347,-0.93844
1232.72,0.141376,0.0566954,1.03347,-0.888475
1232.72,0.141376,0.0566954,1.03347,-0.795645
1232.72,0.141376,0.0566954,1.03347,-0.666275
1232.72,0.141376,0.0566954,1.03347,-0.509182
1232.72,0.141376,0.0566954,1.03347,-0.335071
1232.72,0.141376,0.0566954,1.03347,-0.155809
1232.72,0.141376,0.0566954,1.03347,0.0163894
1232.72,0.141376,0.0566954,1.03347,0.169788
1232.72,0.141376,0.0566954,1.03347,0.293933
1232.72,0.141376,0.0566954,1.03347,0.380365
1232.72,0.141376,0.0566954,1.03347,0.423193
1232.72,0.141376,0.0566954,1.03347,0.419499
1232.72,0.141376,0.0566954,1.03347,0.369534
1232.72,0.141376,0.0566954,1.03347,0.276703
1232.72,0.141376,0.0566954,1.03347,0.147333
1232.72,0.141376,0.0566954,1.03347,-0.00976028
1232.72,0.141376,0.0566954,1.03347,-0.183871
1232.72,0.141376,0.0566954,1.03347,-0.363133
1232.72,0.141376,0.0566954,1.03347,-0.535331
1232.72,0.141376,0.0566954,1.03347,-0.68873
1232.72,0.141376,0.0566954,1.03347,-0.812875
1232.72,0.141376,0.0566954,1.03347,-0.899307
1232.72,0.141376,0.0566954,1.03347,-0.942135
1232.61,0.141344,0.0566809,1.03344,-0.938087
1232.61,0.141344,0.0566809,1.03344,-0.888428
1232.61,0.141344,0.0566809,1.03344,-0.795834
1232.61,0.141344,0.0566809,1.03344,-0.666617
1232.61,0.141344,0.0566809,1.03344,-0.509583
1232.61,0.141344,0.0566809,1.03344,-0.335433
1232.61,0.141344,0.0566809,1.03344,-0.156035
