A,B,C,AVSC,cos-zenith
1232.83,0.141412,0.0567172,1.03348,-0.974462
1232.83,0.141412,0.0567172,1.03348,-0.974462
1232.83,0.141412,0.0567172,1.03348,-0.920729
1232.83,0.141412,0.0567172,1.03348,-0.819168
1232.83,0.141412,0.0567172,1.03348,-0.676702
1232.83,0.141412,0.0567172,1.03348,-0.503038
1232.83,0.141412,0.0567172,1.03348,-0.310013
1232.83,0.141412,0.0567172,1.03348,-0.11078
1232.83,0.141412,0.0567172,1.03348,0.0810841
1232.83,0.141412,0.0567172,1.03348,0.252503
1232.83,0.141412,0.0567172,1.03348,0.391795
1232.83,0.141412,0.0567172,1.03348,0.489468
1232.83,0.141412,0.0567172,1.03348,0.538865
1232.83,0.141412,0.0567172,1.03348,0.536621
1232.83,0.141412,0.0567172,1.03348,0.482887
1232.83,0.141412,0.0567172,1.03348,0.381327
1232.83,0.141412,0.0567172,1.03348,0.238861
1232.83,0.141412,0.0567172,1.03348,0.0651972
1232.83,0.141412,0.0567172,1.03348,-0.127828
1232.83,0.141412,0.0567172,1.03348,-0.327062
1232.83,0.141412,0.0567172,1.03348,-0.518925
1232.83,0.141412,0.0567172,1.03348,-0.690344
1232.83,0.141412,0.0567172,1.03348,-0.829636
1232.83,0.141412,0.0567172,1.03348,-0.927309
1232.83,0.141412,0.0567172,1.03348,-0.976707
1232.72,0.141376,0.0566954,1.03347,-0.974401
1232.72,0.141376,0.0566954,1.03347,-0.92102
1232.72,0.141376,0.0566954,1.03347,-0.819741
1232.72,0.141376,0.0566954,1.03347,-0.677467
1232.72,0.141376,0.0566954,1.03347,-0.503894
1232.72,0.141376,0.0566954,1.03347,-0.310849
1232.72,0.141376,0.0566954,1.03347,-0.11149
1232.72,0.141376,0.0566954,1.03347,0.0805983
1232.72,0.141376,0.0566954,1.03347,0.252325
1232.72,0.141376,0.0566954,1.03347,0.391988
1232.72,0.141376,0.0566954,1.03347,0.490069
1232.72,0.141376,0.0566954,1.03347,0.539883
1232.72,0.141376,0.0566954,1.03347,0.538037
1232.72,0.141376,0.0566954,1.03347,0.484655
1232.72,0.141376,0.0566954,1.03347,0.383376
1232.72,0.141376,0.0566954,1.03347,0.241102
1232.72,0.141376,0.0566954,1.03347,0.067529
1232.72,0.141376,0.0566954,1.03347,-0.125515
1232.72,0.141376,0.0566954,1.03347,-0.324874
1232.72,0.141376,0.0566954,1.03347,-0.516963
1232.72,0.141376,0.0566954,1.03347,-0.68869
1232.72,0.141376,0.0566954,1.03347,-0.828353
1232.72,0.141376,0.0566954,1.03347,-0.926433
1232.72,0.141376,0.0566954,1.03347,-0.976248
1232.61,0.141344,0.0566809,1.03344,-0.974308
1232.61,0.141344,0.0566809,1.03344,-0.921271
1232.61,0.141344,0.0566809,1.03344,-0.820265
1232.61,0.141344,0.0566809,1.03344,-0.678173
1232.61,0.141344,0.0566809,1.03344,-0.504679
1232.61,0.141344,0.0566809,1.03344,-0.311605
1232.61,0.141344,0.0566809,1.03344,-0.11211
1232.61,0.141344,0.0566809,1.03344,0.0802116
1232.61,0.141344,0.0566809,1.03344,0.252253
1232.61,0.141344,0.0566809,1.03344,0.39229
1232.61,0.141344,0.0566809,1.03344,0.490779
1232.61,0.141344,0.0566809,1.03344,0.541009
1232.61,0.141344,0.0566809,1.03344,0.539556
1232.61,0.141344,0.0566809,1.03344,0.48652
1232.61,0.141344,0.0566809,1.03344,0.385514
1232.61,0.141344,0.0566809,1.03344,0.243422
1232.61,0.141344,0.0566809,1.03344,0.0699275
1232.61,0.141344,0.0566809,1.03344,-0.123146
1232.61,0.141344,0.0566809,1.03344,-0.322641
1232.61,0.141344,0.0566809,1.03344,-0.514963
