A,B,C,AVSC,cos-zenith
1232.92,0.141454,0.0567465,1.03349,-0.96601
1232.92,0.141454,0.0567465,1.03349,-0.927238
1232.92,0.141454,0.0567465,1.03349,-0.841592
1232.92,0.141454,0.0567465,1.03349,-0.714909
1232.92,0.141454,0.0567465,1.03349,-0.555821
1232.92,0.141454,0.0567465,1.03349,-0.37517
1232.92,0.141454,0.0567465,1.03349,-0.185267
1232.92,0.141454,0.0567465,1.03349,0.000945859
1232.92,0.141454,0.0567465,1.03349,0.170779
1232.92,0.141454,0.0567465,1.03349,0.312658
1232.92,0.141454,0.0567465,1.03349,0.416915
1232.92,0.141454,0.0567465,1.03349,0.476444
1232.92,0.141454,0.0567465,1.03349,0.487189
1232.92,0.141454,0.0567465,1.03349,0.448418
1232.92,0.141454,0.0567465,1.03349,0.362772
1232.92,0.141454,0.0567465,1.03349,0.236088
1232.92,0.141454,0.0567465,1.03349,0.0770001
1232.92,0.141454,0.0567465,1.03349,-0.103651
1232.92,0.141454,0.0567465,1.03349,-0.293553
1232.92,0.141454,0.0567465,1.03349,-0.479766
1232.92,0.141454,0.0567465,1.03349,-0.649599
1232.92,0.141454,0.0567465,1.03349,-0.791479
1232.92,0.141454,0.0567465,1.03349,-0.895735
1232.92,0.141454,0.0567465,1.03349,-0.955265
1232.83,0.141412,0.0567172,1.03348,-0.965755
1232.83,0.141412,0.0567172,1.03348,-0.927337
1232.83,0.141412,0.0567172,1.03348,-0.841984
1232.83,0.141412,0.0567172,1.03348,-0.715511
1232.83,0.141412,0.0567172,1.03348,-0.556537
1232.83,0.141412,0.0567172,1.03348,-0.375897
1232.83,0.141412,0.0567172,1.03348,-0.1859
1232.83,0.141412,0.0567172,1.03348,0.000504967
1232.83,0.141412,0.0567172,1.03348,0.170615
1232.83,0.141412,0.0567172,1.03348,0.312838
1232.83,0.141412,0.0567172,1.03348,0.417481
1232.83,0.141412,0.0567172,1.03348,0.477413
1232.83,0.141412,0.0567172,1.03348,0.488549
1232.83,0.141412,0.0567172,1.03348,0.450132
1232.83,0.141412,0.0567172,1.03348,0.364778
1232.83,0.141412,0.0567172,1.03348,0.238305
1232.83,0.141412,0.0567172,1.03348,0.0793314
1232.83,0.141412,0.0567172,1.03348,-0.101309
1232.83,0.141412,0.0567172,1.03348,-0.291306
1232.83,0.141412,0.0567172,1.03348,-0.477711
1232.83,0.141412,0.0567172,1.03348,-0.647821
1232.83,0.141412,0.0567172,1.03348,-0.790044
1232.83,0.141412,0.0567172,1.03348,-0.894686
1232.83,0.141412,0.0567172,1.03348,-0.954618
1232.72,0.141376,0.0566954,1.03347,-0.965461
1232.72,0.141376,0.0566954,1.03347,-0.927392
1232.72,0.141376,0.0566954,1.03347,-0.842322
1232.72,0.141376,0.0566954,1.03347,-0.71605
1232.72,0.141376,0.0566954,1.03347,-0.557181
1232.72,0.141376,0.0566954,1.03347,-0.376541
1232.72,0.141376,0.0566954,1.03347,-0.186441
1232.72,0.141376,0.0566954,1.03347,0.000164798
1232.72,0.141376,0.0566954,1.03347,0.170559
1232.72,0.141376,0.0566954,1.03347,0.31313
1232.72,0.141376,0.0566954,1.03347,0.418161
1232.72,0.141376,0.0566954,1.03347,0.478495
1232.72,0.141376,0.0566954,1.03347,0.49002
1232.72,0.141376,0.0566954,1.03347,0.45195
1232.72,0.141376,0.0566954,1.03347,0.366881
1232.72,0.141376,0.0566954,1.03347,0.240609
1232.72,0.141376,0.0566954,1.03347,0.0817399
1232.72,0.141376,0.0566954,1.03347,-0.0989
1232.72,0.141376,0.0566954,1.03347,-0.289
1232.72,0.141376,0.0566954,1.03347,-0.475606
1232.72,0.141376,0.0566954,1.03347,-0.646
1232.72,0.141376,0.0566954,1.03347,-0.788571
1232.72,0.141376,0.0566954,1.03347,-0.893602
